negatives
"frozenset({'P34932', 'Alpha6Beta4Integrin', 'Q6NYC1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q09472', 'Q92786'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L5N1', 'P09234'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16690', 'P28482'})"
"frozenset({'Q5JU00', 'Q96DF8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM54', 'Alpha6Beta4Integrin', 'Q13137'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N1L9', 'P30508'})"
"frozenset({'P25098', 'Alpha6Beta4Integrin', 'Q8NGT7'})"
"frozenset({'O15534', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'O00591', 'Alpha6Beta4Integrin', 'Q9H0R8'})"
"frozenset({'Q02809', 'Q9UDY2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96EK4', 'Alpha6Beta4Integrin', 'O15294'})"
"frozenset({'Alpha6Beta4Integrin', 'P24385', 'Q15276'})"
"frozenset({'P49407', 'Alpha6Beta4Integrin', 'O00541'})"
"frozenset({'P21281', 'P46782', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96G23', 'Alpha6Beta4Integrin', 'O75787'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15717', 'Q13309'})"
"frozenset({'P62906', 'Q92905', 'Alpha6Beta4Integrin'})"
"frozenset({'P30154', 'Alpha6Beta4Integrin', 'Q9UF02'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IVW6', 'Q9UPM6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86VP6', 'P35544'})"
"frozenset({'Alpha6Beta4Integrin', 'O75022', 'P14324'})"
"frozenset({'Q9BRX9', 'Alpha6Beta4Integrin', 'Q9Y2I6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UMQ3', 'Q13315'})"
"frozenset({'Q9UQ35', 'Alpha6Beta4Integrin', 'P22626'})"
"frozenset({'Alpha6Beta4Integrin', 'P67870', 'O00555'})"
"frozenset({'Q9Y2K1', 'Alpha6Beta4Integrin', 'Q08499'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZZ3', 'O75928'})"
"frozenset({'Alpha6Beta4Integrin', 'P05412', 'Q96A33'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99466', 'P49768'})"
"frozenset({'Alpha6Beta4Integrin', 'O43264', 'P55769'})"
"frozenset({'Q9NQA5', 'Alpha6Beta4Integrin', 'Q15853'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14244', 'O15027'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKX7', 'O15504'})"
"frozenset({'O76000', 'Alpha6Beta4Integrin', 'P35626'})"
"frozenset({'Q13501', 'Alpha6Beta4Integrin', 'P19013'})"
"frozenset({'Q93079', 'Alpha6Beta4Integrin', 'Q15291'})"
"frozenset({'Q7Z6Z7', 'P60842', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H9Z2', 'Alpha6Beta4Integrin', 'P22087'})"
"frozenset({'Alpha6Beta4Integrin', 'O00472', 'Q9Y4W6'})"
"frozenset({'P57078', 'Alpha6Beta4Integrin', 'Q9BVQ7'})"
"frozenset({'Q93034', 'Alpha6Beta4Integrin', 'P13645'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5T686', 'Q9H0I2'})"
"frozenset({'Alpha6Beta4Integrin', 'O96028', 'P50914'})"
"frozenset({'P35244', 'Q15024', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6IAN0', 'Q9UKV3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BW11', 'Q7Z3S9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L5N1', 'Q92466'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BUZ4', 'P63279'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5MIZ7', 'O75439'})"
"frozenset({'P56706', 'Alpha6Beta4Integrin', 'Q6P988'})"
"frozenset({'Q9H2G9', 'Alpha6Beta4Integrin', 'O14980'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N6L0', 'Q96SE0'})"
"frozenset({'Q7Z3S7', 'P30559', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IXI1', 'Alpha6Beta4Integrin', 'Q8N1I0'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q9UQL6'})"
"frozenset({'Q9ULL4', 'Q14999', 'Alpha6Beta4Integrin'})"
"frozenset({'P28070', 'Alpha6Beta4Integrin', 'Q99471'})"
"frozenset({'Q9NP66', 'Q96BS2', 'Alpha6Beta4Integrin'})"
"frozenset({'P62266', 'P46782', 'Alpha6Beta4Integrin'})"
"frozenset({'O00206', 'Alpha6Beta4Integrin', 'Q9UNE7'})"
"frozenset({'Alpha6Beta4Integrin', 'P43686', 'Q9UL46'})"
"frozenset({'Q9BZV1', 'Alpha6Beta4Integrin', 'P49257'})"
"frozenset({'P07237', 'Alpha6Beta4Integrin', 'P06733'})"
"frozenset({'O94905', 'Alpha6Beta4Integrin', 'P51452'})"
"frozenset({'Q8N7R7', 'Alpha6Beta4Integrin', 'P09067'})"
"frozenset({'Alpha6Beta4Integrin', 'P35222', 'Q15583'})"
"frozenset({'Q7Z3Z0', 'Alpha6Beta4Integrin', 'P02538'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'Q8NBS9'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'O75955'})"
"frozenset({'Q9UHB6', 'Q8IVT2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99683', 'Alpha6Beta4Integrin', 'P27986'})"
"frozenset({'Alpha6Beta4Integrin', 'O14879', 'P16989'})"
"frozenset({'Q13936', 'P28335', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'Q12874'})"
"frozenset({'Q9Y237', 'Alpha6Beta4Integrin', 'Q96C00'})"
"frozenset({'P31749', 'Alpha6Beta4Integrin', 'P11177'})"
"frozenset({'Q7L0Q8', 'Alpha6Beta4Integrin', 'Q03924'})"
"frozenset({'Alpha6Beta4Integrin', 'P63261', 'P49863'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96NB1', 'Q6ZU80'})"
"frozenset({'O60315', 'Alpha6Beta4Integrin', 'O94776'})"
"frozenset({'Alpha6Beta4Integrin', 'P11021', 'Q04864'})"
"frozenset({'Q8WVR3', 'Q96KC9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13485', 'Alpha6Beta4Integrin', 'P05161'})"
"frozenset({'Q8TEB1', 'Alpha6Beta4Integrin', 'Q16531'})"
"frozenset({'Q14232', 'P14866', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P11413', 'P02751'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2D8', 'P00540'})"
"frozenset({'Alpha6Beta4Integrin', 'P00533', 'Q9UBV2'})"
"frozenset({'O15197', 'Alpha6Beta4Integrin', 'P41182'})"
"frozenset({'O75031', 'Alpha6Beta4Integrin', 'P51451'})"
"frozenset({'Alpha6Beta4Integrin', 'P34925', 'Q9UPY6'})"
"frozenset({'Alpha6Beta4Integrin', 'P18206', 'P60174'})"
"frozenset({'Q13191', 'Alpha6Beta4Integrin', 'Q9NR46'})"
"frozenset({'O00488', 'Alpha6Beta4Integrin', 'P46089'})"
"frozenset({'P30838', 'Alpha6Beta4Integrin', 'Q8WWY8'})"
"frozenset({'Q86WH2', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'P0DP24', 'Alpha6Beta4Integrin', 'Q9HCN6'})"
"frozenset({'P18859', 'Alpha6Beta4Integrin', 'P51812'})"
"frozenset({'O60216', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'P15336', 'Alpha6Beta4Integrin', 'E9PAV3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BQA1', 'Q9NWT6'})"
"frozenset({'P04629', 'Alpha6Beta4Integrin', 'Q15031'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'O15212'})"
"frozenset({'Q96PU8', 'Alpha6Beta4Integrin', 'Q15366'})"
"frozenset({'Q8IY92', 'Alpha6Beta4Integrin', 'P20930'})"
"frozenset({'Q8TAU3', 'Alpha6Beta4Integrin', 'Q9NRD5'})"
"frozenset({'P63104', 'P04183', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BXL8', 'Alpha6Beta4Integrin', 'O95363'})"
"frozenset({'P32121', 'O95218', 'Alpha6Beta4Integrin'})"
"frozenset({'P06493', 'Alpha6Beta4Integrin', 'P61020'})"
"frozenset({'Alpha6Beta4Integrin', 'P63208', 'Q9BQ15'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13363', 'P20749'})"
"frozenset({'Alpha6Beta4Integrin', 'P06733', 'Q14562'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HCN8', 'Q9UBS4'})"
"frozenset({'Q08AD1', 'Q9BQK8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WU58', 'Alpha6Beta4Integrin', 'Q5TA45'})"
"frozenset({'Q9UNI6', 'P21246', 'Alpha6Beta4Integrin'})"
"frozenset({'P63104', 'Alpha6Beta4Integrin', 'P07437'})"
"frozenset({'Q9NRW1', 'Alpha6Beta4Integrin', 'Q9Y2V7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2Z2', 'Q9BRK5'})"
"frozenset({'Q9UKA4', 'P13861', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P0K7', 'Alpha6Beta4Integrin', 'Q9NQW6'})"
"frozenset({'P27348', 'Q04759', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NFZ4', 'Q92796'})"
"frozenset({'Q9H4L4', 'Alpha6Beta4Integrin', 'P61956'})"
"frozenset({'P32242', 'Q9BYR9', 'Alpha6Beta4Integrin'})"
"frozenset({'O75558', 'Alpha6Beta4Integrin', 'Q08AF8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00613', 'P78527'})"
"frozenset({'Alpha6Beta4Integrin', 'P20138', 'Q92764'})"
"frozenset({'Q96GG9', 'Alpha6Beta4Integrin', 'Q9BT78'})"
"frozenset({'O15511', 'Alpha6Beta4Integrin', 'P49137'})"
"frozenset({'Alpha6Beta4Integrin', 'O43639', 'Q8IZP0'})"
"frozenset({'P62879', 'Alpha6Beta4Integrin', 'P08754'})"
"frozenset({'P49674', 'Alpha6Beta4Integrin', 'P67870'})"
"frozenset({'Alpha6Beta4Integrin', 'P05067', 'P23511'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00013', 'P36542'})"
"frozenset({'Q86XK2', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'P62258', 'P54105'})"
"frozenset({'A8MQ03', 'Alpha6Beta4Integrin', 'P57739'})"
"frozenset({'Q13233', 'Q9UPT6', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P01834', 'P05091'})"
"frozenset({'Alpha6Beta4Integrin', 'P61619', 'Q9H492'})"
"frozenset({'Alpha6Beta4Integrin', 'Q05823', 'Q02241'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86VP6', 'P09104'})"
"frozenset({'Alpha6Beta4Integrin', 'P04439', 'Q9BUN8'})"
"frozenset({'O76014', 'Alpha6Beta4Integrin', 'P12035'})"
"frozenset({'O15068', 'Q15796', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13153', 'Alpha6Beta4Integrin', 'Q9UM54'})"
"frozenset({'P36941', 'Alpha6Beta4Integrin', 'Q53EQ6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BUV8', 'O95433'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01780', 'Q9Y2L1'})"
"frozenset({'P27797', 'Alpha6Beta4Integrin', 'Q9Y570'})"
"frozenset({'Alpha6Beta4Integrin', 'O95166', 'Q12931'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UHP6', 'P14373'})"
"frozenset({'Q13535', 'Alpha6Beta4Integrin', 'Q14566'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NFH3', 'Q14CS0'})"
"frozenset({'Q9C0B0', 'Alpha6Beta4Integrin', 'Q13619'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BY11', 'Q7Z5R6'})"
"frozenset({'Q2M1P5', 'Alpha6Beta4Integrin', 'Q9Y2D8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NWN3', 'P36897'})"
"frozenset({'P55072', 'Alpha6Beta4Integrin', 'Q7Z4G1'})"
"frozenset({'Q14103', 'Alpha6Beta4Integrin', 'Q5MIZ7'})"
"frozenset({'O00483', 'Q9Y3D7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BWM7', 'P00533', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P2P5', 'Q9NP50'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WW22', 'P11142'})"
"frozenset({'Q9P286', 'Alpha6Beta4Integrin', 'O00212'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'O00591'})"
"frozenset({'P06493', 'Q99832', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DP23', 'Q92731'})"
"frozenset({'Q86Z14', 'Alpha6Beta4Integrin', 'Q9NSA1'})"
"frozenset({'Q8NB78', 'Alpha6Beta4Integrin', 'O60563'})"
"frozenset({'Alpha6Beta4Integrin', 'Q75N03', 'P23246'})"
"frozenset({'Q9NPF7', 'Q14627', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y618', 'P17096', 'Alpha6Beta4Integrin'})"
"frozenset({'O00762', 'Alpha6Beta4Integrin', 'O95155'})"
"frozenset({'Q9Y5B8', 'Alpha6Beta4Integrin', 'Q2NL68'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQB8', 'Q8IVT5'})"
"frozenset({'O94874', 'Alpha6Beta4Integrin', 'P62837'})"
"frozenset({'Q92541', 'Q9H6A0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6NUN9', 'P27635', 'Alpha6Beta4Integrin'})"
"frozenset({'O95630', 'Alpha6Beta4Integrin', 'Q9NYZ3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13535', 'Q8IUQ4'})"
"frozenset({'Alpha6Beta4Integrin', 'O95568', 'Q9Y265'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y448', 'P06733'})"
"frozenset({'Alpha6Beta4Integrin', 'P31749', 'Q92922'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYB4', 'Q99501'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'Q8N752'})"
"frozenset({'Q6ZW49', 'Alpha6Beta4Integrin', 'Q14676'})"
"frozenset({'Q13233', 'Alpha6Beta4Integrin', 'P62249'})"
"frozenset({'Alpha6Beta4Integrin', 'P50750', 'Q5VTR2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UHL3', 'Q9HAT0'})"
"frozenset({'Q9NP31', 'P08581', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P42285', 'P05412'})"
"frozenset({'P38919', 'Alpha6Beta4Integrin', 'P14866'})"
"frozenset({'P33316', 'Alpha6Beta4Integrin', 'Q9BW91'})"
"frozenset({'P48444', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Q08999', 'Alpha6Beta4Integrin', 'O43524'})"
"frozenset({'P50148', 'Alpha6Beta4Integrin', 'Q8TCI5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NI37', 'Q12983'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'Q68EM7'})"
"frozenset({'Alpha6Beta4Integrin', 'O43913', 'Q9P2F8'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q15029'})"
"frozenset({'Q92545', 'Alpha6Beta4Integrin', 'Q8TDD5'})"
"frozenset({'P04899', 'Alpha6Beta4Integrin', 'P0C869'})"
"frozenset({'P53805', 'Q13164', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6AI12', 'O43251'})"
"frozenset({'Q9Y3R0', 'Alpha6Beta4Integrin', 'P28065'})"
"frozenset({'Q52LW3', 'Alpha6Beta4Integrin', 'P60953'})"
"frozenset({'Q9HAU0', 'P63172', 'Alpha6Beta4Integrin'})"
"frozenset({'P05556', 'Alpha6Beta4Integrin', 'Q71U36'})"
"frozenset({'Alpha6Beta4Integrin', 'O14641', 'Q13501'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9GZT6', 'O43261'})"
"frozenset({'O43852', 'O75147', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NPJ1', 'Q01850'})"
"frozenset({'Alpha6Beta4Integrin', 'P68431', 'Q9Y6J0'})"
"frozenset({'A8MQ03', 'Alpha6Beta4Integrin', 'Q7Z4V0'})"
"frozenset({'P50991', 'Q92905', 'Alpha6Beta4Integrin'})"
"frozenset({'Q58EX7', 'Alpha6Beta4Integrin', 'Q9Y6I9'})"
"frozenset({'O15519', 'Alpha6Beta4Integrin', 'P04637'})"
"frozenset({'Q9BT92', 'Q13064', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O95757', 'O75937'})"
"frozenset({'Q9NW08', 'Alpha6Beta4Integrin', 'Q8IXW5'})"
"frozenset({'Alpha6Beta4Integrin', 'P50222', 'P23760'})"
"frozenset({'P00966', 'P52565', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z6Z7', 'Alpha6Beta4Integrin', 'P12004'})"
"frozenset({'Q9Y2R4', 'Alpha6Beta4Integrin', 'Q9NWA0'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'A6NL26'})"
"frozenset({'Alpha6Beta4Integrin', 'O75553', 'Q8IUC2'})"
"frozenset({'P61978', 'Alpha6Beta4Integrin', 'O75937'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'O14492'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16829', 'O00159'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'Q9P2J8'})"
"frozenset({'P60709', 'Alpha6Beta4Integrin', 'Q6PI98'})"
"frozenset({'Q9Y3B3', 'Alpha6Beta4Integrin', 'Q01968'})"
"frozenset({'Q99523', 'Alpha6Beta4Integrin', 'Q8NDF8'})"
"frozenset({'Alpha6Beta4Integrin', 'P62166', 'Q9NZV8'})"
"frozenset({'Q9UBK2', 'Alpha6Beta4Integrin', 'Q68CJ9'})"
"frozenset({'P50395', 'Q15907', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WUA4', 'Alpha6Beta4Integrin', 'O95714'})"
"frozenset({'O43615', 'Alpha6Beta4Integrin', 'Q96D53'})"
"frozenset({'Alpha6Beta4Integrin', 'P40763', 'Q8IZS5'})"
"frozenset({'Q9Y4C1', 'Alpha6Beta4Integrin', 'P10275'})"
"frozenset({'Alpha6Beta4Integrin', 'P78358', 'Q6VN20'})"
"frozenset({'Q9H0K1', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'O60260', 'Alpha6Beta4Integrin', 'Q4VCS5'})"
"frozenset({'Q9NQT8', 'Alpha6Beta4Integrin', 'P30291'})"
"frozenset({'P61978', 'Q13813', 'Alpha6Beta4Integrin'})"
"frozenset({'O94874', 'Q9Y2X8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92730', 'Alpha6Beta4Integrin', 'Q9BZ29'})"
"frozenset({'Alpha6Beta4Integrin', 'O75604', 'Q8N1B4'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'P54646'})"
"frozenset({'Alpha6Beta4Integrin', 'P02649', 'P22061'})"
"frozenset({'Q9P0N9', 'Alpha6Beta4Integrin', 'Q14145'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96FW1', 'Q15019'})"
"frozenset({'P62316', 'Alpha6Beta4Integrin', 'Q12874'})"
"frozenset({'Alpha6Beta4Integrin', 'O00213', 'O76050'})"
"frozenset({'Alpha6Beta4Integrin', 'Q08426', 'Q08AM6'})"
"frozenset({'Q96GY3', 'Alpha6Beta4Integrin', 'Q96A32'})"
"frozenset({'Alpha6Beta4Integrin', 'P19174', 'P01588'})"
"frozenset({'Q5T3F8', 'Q9BQE5', 'Alpha6Beta4Integrin'})"
"frozenset({'P56937', 'Q13291', 'Alpha6Beta4Integrin'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q9BXF6'})"
"frozenset({'Q5T3F8', 'Alpha6Beta4Integrin', 'Q96K37'})"
"frozenset({'Q14103', 'Alpha6Beta4Integrin', 'P13010'})"
"frozenset({'Q8NH01', 'Alpha6Beta4Integrin', 'Q9P2W3'})"
"frozenset({'Q9UDX3', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q92769', 'Alpha6Beta4Integrin', 'Q9NWT6'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'Q12809'})"
"frozenset({'Alpha6Beta4Integrin', 'P53999', 'Q99459'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6ZUT1', 'Q14562'})"
"frozenset({'Q9Y3B3', 'Alpha6Beta4Integrin', 'Q14653'})"
"frozenset({'P30740', 'Q9UGI8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P12956', 'P31040'})"
"frozenset({'Q9H339', 'Alpha6Beta4Integrin', 'P35626'})"
"frozenset({'P14923', 'Alpha6Beta4Integrin', 'Q14195'})"
"frozenset({'Q92667', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96SN8', 'Q96RT8'})"
"frozenset({'P42768', 'Q9Y2R2', 'Alpha6Beta4Integrin'})"
"frozenset({'P68036', 'Alpha6Beta4Integrin', 'P01100'})"
"frozenset({'Q6UXN9', 'Alpha6Beta4Integrin', 'P11142'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92806', 'O60262'})"
"frozenset({'P13612', 'P49915', 'Alpha6Beta4Integrin'})"
"frozenset({'P26992', 'Alpha6Beta4Integrin', 'P05000'})"
"frozenset({'Q9Y5A6', 'Alpha6Beta4Integrin', 'P49760'})"
"frozenset({'P51572', 'Alpha6Beta4Integrin', 'P29466'})"
"frozenset({'Q86XK2', 'Alpha6Beta4Integrin', 'Q96GW7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15047', 'Q9UIM3'})"
"frozenset({'Q8NHS3', 'Alpha6Beta4Integrin', 'Q401N2'})"
"frozenset({'Q01081', 'Alpha6Beta4Integrin', 'Q99459'})"
"frozenset({'O94921', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9GZL7', 'Q8TDN6'})"
"frozenset({'Alpha6Beta4Integrin', 'O00461', 'Q9UPM8'})"
"frozenset({'P51451', 'Alpha6Beta4Integrin', 'P14625'})"
"frozenset({'Alpha6Beta4Integrin', 'P12931', 'P16471'})"
"frozenset({'P13667', 'Alpha6Beta4Integrin', 'Q13564'})"
"frozenset({'Q8N653', 'Q13133', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q3V6T2', 'Q5VZV1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N143', 'P60331'})"
"frozenset({'P05388', 'Alpha6Beta4Integrin', 'Q969P0'})"
"frozenset({'Alpha6Beta4Integrin', 'O95166', 'P02533'})"
"frozenset({'Q92925', 'Alpha6Beta4Integrin', 'Q16719'})"
"frozenset({'Q93009', 'Alpha6Beta4Integrin', 'Q9Y230'})"
"frozenset({'Alpha6Beta4Integrin', 'O95047', 'O60262'})"
"frozenset({'Q9Y281', 'Alpha6Beta4Integrin', 'P68032'})"
"frozenset({'Alpha6Beta4Integrin', 'P57737', 'Q9NVD3'})"
"frozenset({'Q01844', 'Alpha6Beta4Integrin', 'Q8N684'})"
"frozenset({'Alpha6Beta4Integrin', 'O96028', 'Q13315'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96QF0', 'Q9Y3M2'})"
"frozenset({'Q6NUN9', 'Alpha6Beta4Integrin', 'P05023'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13352', 'Q8TC92'})"
"frozenset({'Q15672', 'Alpha6Beta4Integrin', 'Q8WVJ9'})"
"frozenset({'Alpha6Beta4Integrin', 'O95831', 'O95747'})"
"frozenset({'P25054', 'P60953', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O15230', 'Q9BSF8'})"
"frozenset({'Q6IA86', 'Alpha6Beta4Integrin', 'Q9Y3D0'})"
"frozenset({'Alpha6Beta4Integrin', 'P38398', 'Q9NXG0'})"
"frozenset({'Q8IXI1', 'Alpha6Beta4Integrin', 'O75044'})"
"frozenset({'P82933', 'Alpha6Beta4Integrin', 'Q9BQ04'})"
"frozenset({'P60369', 'Alpha6Beta4Integrin', 'Q13368'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13619', 'Q01831'})"
"frozenset({'P06493', 'Alpha6Beta4Integrin', 'P43307'})"
"frozenset({'Q96LK0', 'Alpha6Beta4Integrin', 'Q9H4L4'})"
"frozenset({'Alpha6Beta4Integrin', 'P24390', 'Q7L1Q6'})"
"frozenset({'Q8NGJ7', 'Alpha6Beta4Integrin', 'P62873'})"
"frozenset({'P49848', 'Alpha6Beta4Integrin', 'P04629'})"
"frozenset({'Q01094', 'Alpha6Beta4Integrin', 'O14744'})"
"frozenset({'Q9P0N5', 'Alpha6Beta4Integrin', 'Q8IWB9'})"
"frozenset({'Q86XR8', 'Q13813', 'Alpha6Beta4Integrin'})"
"frozenset({'P00750', 'P09429', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHF4', 'Alpha6Beta4Integrin', 'P22681'})"
"frozenset({'O43915', 'Alpha6Beta4Integrin', 'Q02763'})"
"frozenset({'Alpha6Beta4Integrin', 'P50222', 'Q9HB63'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86V97', 'Q8WVZ9'})"
"frozenset({'P62807', 'Alpha6Beta4Integrin', 'P38398'})"
"frozenset({'Q6UY14', 'Alpha6Beta4Integrin', 'Q96SQ5'})"
"frozenset({'Q9H079', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z333', 'Q13573'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13123', 'O43175'})"
"frozenset({'O15169', 'Alpha6Beta4Integrin', 'P35221'})"
"frozenset({'Q68E01', 'Alpha6Beta4Integrin', 'O75530'})"
"frozenset({'P10619', 'Alpha6Beta4Integrin', 'P07339'})"
"frozenset({'Alpha6Beta4Integrin', 'P36406', 'Q14D33'})"
"frozenset({'Q9HDC9', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q15654', 'Alpha6Beta4Integrin', 'P10828'})"
"frozenset({'Q99523', 'Q71F56', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NTI7', 'Q5VT25'})"
"frozenset({'Alpha6Beta4Integrin', 'Q10471', 'O00189'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NZZ3', 'Q8WV92'})"
"frozenset({'P04792', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Q7Z419', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q8NGS4', 'Alpha6Beta4Integrin', 'O60262'})"
"frozenset({'P46782', 'Alpha6Beta4Integrin', 'P19388'})"
"frozenset({'P55265', 'P15927', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q5BJF6', 'Q16352'})"
